movie_key,name,year,imdb_id
1,Toy Story (1995),01-Jan-1995,tt0114709
2,GoldenEye (1995),01-Jan-1995,tt0113189
3,Four Rooms (1995),01-Jan-1995,tt0113101
4,Get Shorty (1995),01-Jan-1995,tt0113161
5,Copycat (1995),01-Jan-1995,tt0112722
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,tt0115012
7,Twelve Monkeys (1995),01-Jan-1995,tt0114746
8,Babe (1995),01-Jan-1995,tt0112431
9,Dead Man Walking (1995),01-Jan-1995,tt0112818
10,Richard III (1995),22-Jan-1996,tt0114279
11,Seven (Se7en) (1995),01-Jan-1995,tt0114369
12,"Usual Suspects, The (1995)",14-Aug-1995,tt0114814
13,Mighty Aphrodite (1995),30-Oct-1995,tt0113819
14,"Postino, Il (1994)",01-Jan-1994,tt0110877
15,Mr. Holland's Opus (1995),29-Jan-1996,tt0113862
16,French Twist (Gazon maudit) (1995),01-Jan-1995,tt0113149
17,From Dusk Till Dawn (1996),05-Feb-1996,tt0116367
18,"White Balloon, The (1995)",01-Jan-1995,tt0112445
19,Antonia's Line (1995),01-Jan-1995,tt0112379
20,Angels and Insects (1995),01-Jan-1995,tt0112365
21,Muppet Treasure Island (1996),16-Feb-1996,tt0117110
22,Braveheart (1995),16-Feb-1996,tt0112573
23,Taxi Driver (1976),16-Feb-1996,tt0075314
24,Rumble in the Bronx (1995),23-Feb-1996,tt0113326
25,"Birdcage, The (1996)",08-Mar-1996,tt0115685
26,"Brothers McMullen, The (1995)",01-Jan-1995,tt0112585
27,Bad Boys (1995),01-Jan-1995,tt0112442
28,Apollo 13 (1995),01-Jan-1995,tt0112384
29,Batman Forever (1995),01-Jan-1995,tt0112462
30,Belle de jour (1967),01-Jan-1967,tt0061395
31,Crimson Tide (1995),01-Jan-1995,tt0112740
32,Crumb (1994),01-Jan-1994,tt0109508
33,Desperado (1995),01-Jan-1995,tt0112851
34,"Doom Generation, The (1995)",01-Jan-1995,tt0112887
35,Free Willy 2: The Adventure Home (1995),01-Jan-1995,tt0113114
36,Mad Love (1995),01-Jan-1995,tt0113729
37,Nadja (1994),01-Jan-1994,tt0110620
38,"Net, The (1995)",01-Jan-1995,tt0113957
39,Strange Days (1995),01-Jan-1995,tt0114558
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,tt0114682
41,Billy Madison (1995),01-Jan-1995,tt0112508
42,Clerks (1994),01-Jan-1994,tt0109445
43,Disclosure (1994),01-Jan-1994,tt0109635
44,Dolores Claiborne (1994),01-Jan-1994,tt0109642
45,Eat Drink Man Woman (1994),01-Jan-1994,tt0111797
46,Exotica (1994),01-Jan-1994,tt0109759
47,Ed Wood (1994),01-Jan-1994,tt0109707
48,Hoop Dreams (1994),01-Jan-1994,tt0110057
49,I.Q. (1994),01-Jan-1994,tt0110099
50,Star Wars (1977),01-Jan-1977,tt0076759
51,Legends of the Fall (1994),01-Jan-1994,tt0110322
52,"Madness of King George, The (1994)",01-Jan-1994,tt0110428
53,Natural Born Killers (1994),01-Jan-1994,tt0110632
54,Outbreak (1995),01-Jan-1995,tt0114069
55,"Professional, The (1994)",01-Jan-1994,tt0110413
56,Pulp Fiction (1994),01-Jan-1994,tt0110912
57,Priest (1994),01-Jan-1994,tt0110889
58,Quiz Show (1994),01-Jan-1994,tt0110932
